F1 - Bug ID,XF1 - # Bug linked messages,XF2 - Bug Linked messages,XF3 - # Introducing issue linked messages,XF4 - Introducing issue Linked messages,ML2 - # ML bug disussants,ML2.1 - ML bug discussant roles,ML5 - # ML bug introducing disussants,ML5.1 - ML bug introducing discussant roles
NOVA 1367363,0,[],0,[],0,[],0,[]
NOVA 1367363 - CG,0,[],0,[],0,[],0,[]
NOVA 1370177,3,"['<CAD5gMQ5Ot5OpSmdXLkzwToOZTTwP7__FTuAAVtSpUSs=EpG=aA@mail.gmail.com>', '<5568CCEC.6030001@redhat.com>', '<556DA3F8.7000304@cloudscaling.com>']",4,"['<53174A6F.8090408@redhat.com>', '<5317596C.2050503@danplanet.com>', '<20140305171813.GB2527@crypt>', '<531773E2.8070005@redhat.com>']",3,"['not involved', 'core', 'peripheral']",4,"['core', 'core', 'core', 'peripheral']"
NOVA 1370177 - CG,0,[],0,[],0,[],0,[]
NOVA 1370590,2,"['<55D536AB.6080403@linux.vnet.ibm.com>', '<55D5CD8D.5070405@linux.vnet.ibm.com>']",4,"['<1442595220.22117464.1409836934599.JavaMail.zimbra@enovance.com>', '<20140904132541.GL772@redhat.com>', '<CAEd1pt6tsxARqWEo4w3-p1NALvXApBxkaGdheLFCA80WoTBdag@mail.gmail.com>', '<54089DE6.5030504@gmail.com>']",1,['core'],4,"['peripheral', 'core', 'core', 'core']"
NOVA 1370590 - CG,0,[],0,[],0,[],0,[]
NOVA 1371677,0,[],9,"['<66a7b3c4e644426a92ef59e74709ddd9@aplex05.dom1.jhuapl.edu>', '<20140905115116.GP10103@redhat.com>', '<5409A874.9050803@dague.net>', '<5409B16E.2090900@dague.net>', '<c821d20a483f46dbb87af4c0f128b909@aplex05.dom1.jhuapl.edu>', '<540881E3.5060300@jhuapl.edu>', '<5408883C.5080609@jhuapl.edu>', '<20140904154825.GR772@redhat.com>', '<54089F47.6060200@dague.net>']",0,[],4,"['core', 'not involved', 'core', 'core']"
NOVA 1371677 - CG,0,[],0,[],0,[],0,[]
NOVA 1375379,0,[],1,['<CAKrFU7XW3NuYqLe=QKsW-YzqBp0MR4esvJtLAOjJ5i1xCEx-ow@mail.gmail.com>'],0,[],1,['not involved']
NOVA 1375379 - CG,0,[],0,[],0,[],0,[]
NOVA 1381468,0,[],0,[],0,[],0,[]
NOVA 1381468 - CG,0,[],0,[],0,[],0,[]
NOVA 1392798,0,[],0,[],0,[],0,[]
NOVA 1392798 - CG,0,[],0,[],0,[],0,[]
NOVA 1402535,0,[],0,[],0,[],0,[]
NOVA 1402535 - CG,0,[],0,[],0,[],0,[]
NOVA 1402728,0,[],0,[],0,[],0,[]
NOVA 1402728 - CG,65,"['<CF0457C3.3A9D3%baoli@cisco.com>', '<9D25E123B44F4A4291F4B5C13DA94E77882F4331@MTLDAG02.mtl.com>', '<CF052AE6.3AC21%baoli@cisco.com>', '<CF084667.3BFDE%baoli@cisco.com>', '<CF0BD58F.3C6D8%baoli@cisco.com>', '<9D25E123B44F4A4291F4B5C13DA94E77882FB7D2@MTLDAG02.mtl.com>', '<CF0C2B85.3CAB3%baoli@cisco.com>', '<CAPoubz6PNWQ8cTToosEfsbDVX+oJXf8+rXbkPgELOWMtMzZRag@mail.gmail.com>', '<9D25E123B44F4A4291F4B5C13DA94E77882FBCA6@MTLDAG02.mtl.com>', '<CF0C3482.3CB3F%baoli@cisco.com>', '<9D25E123B44F4A4291F4B5C13DA94E77882FD2BB@MTLDAG02.mtl.com>', '<096DE3A060628644893976A610FDE6F26B89A300@FMSMSX154.amr.corp.intel.com>', '<1390862538.16278.15.camel@yjiang5-linux1>', '<9D25E123B44F4A4291F4B5C13DA94E77882FD34D@MTLDAG02.mtl.com>', '<CF0D3C3E.3CF8E%baoli@cisco.com>', '<096DE3A060628644893976A610FDE6F26B89E97E@ORSMSX107.amr.corp.intel.com>', '<52E852D0.9090105@windriver.com>', '<1390860256.16278.9.camel@yjiang5-linux1>', '<CAPoubz5BuFJ=-YHk9ynzDEMKwfe78WYdbX2YM=BL2DEQgQbcpw@mail.gmail.com>', '<1390862442.16278.13.camel@yjiang5-linux1>', '<9D25E123B44F4A4291F4B5C13DA94E7773626E18@MTLDAG02.mtl.com>', '<1705659276F6A540A34DBC1919579984102793D2@xmb-rcd-x03.cisco.com>', '<526F4AA8.4050301@intel.com>', '<1705659276F6A540A34DBC19195799841027A7A4@xmb-rcd-x03.cisco.com>', '<526F48FD.6070301@intel.com>', '<DDCAE26804250545B9934A2056554AA01FBA9084@ORSMSX108.amr.corp.intel.com>', '<9D25E123B44F4A4291F4B5C13DA94E778024CC05@MTLDAG01.mtl.com>', '<CABib2_o6tVKB+pEk6p-OByYd5ZF23JcMLM0yN37pcX6bHOHNAQ@mail.gmail.com>', '<1705659276F6A540A34DBC19195799841027C3BB@xmb-rcd-x03.cisco.com>', '<DDCAE26804250545B9934A2056554AA01FBA9D28@ORSMSX108.amr.corp.intel.com>', '<20131030032408.GA13645@private.email.ne.jp>', '<DDCAE26804250545B9934A2056554AA01FBAA1D2@ORSMSX108.amr.corp.intel.com>', '<20131030124445.GA25141@private.email.ne.jp>', '<1705659276F6A540A34DBC19195799841027C398@xmb-rcd-x03.cisco.com>', '<DDCAE26804250545B9934A2056554AA01FBA9CF3@ORSMSX108.amr.corp.intel.com>', '<1705659276F6A540A34DBC19195799841027C380@xmb-rcd-x03.cisco.com>', '<526FCFE4.5010003@cisco.com>', '<DDCAE26804250545B9934A2056554AA01FBA9D68@ORSMSX108.amr.corp.intel.com>', '<52702751.40005@cisco.com>', '<52702895.40508@windriver.com>', '<DDCAE26804250545B9934A2056554AA01FBA9F0B@ORSMSX108.amr.corp.intel.com>', '<527044F7.8040800@cisco.com>', '<HKXPR01MB24644116F967E29E410E5A88BCF0@HKXPR01MB246.apcprd01.prod.exchangelabs.com>', '<CAAfiWQoFn6=dvubgovjO_G5X3N+j8yi9-8v+o6sNeiNHftxfGA@mail.gmail.com>', '<CAAfiWQpHTxW9_N3YDHc9zHcYrhjK5-w1SbUf0EQKg7ZqbashJA@mail.gmail.com>', '<79BBBFE6CB6C9B488C1A45ACD284F51910CBB823@SHSMSX103.ccr.corp.intel.com>', '<9D25E123B44F4A4291F4B5C13DA94E7795EAECA3@MTLDAG01.mtl.com>', '<D02DF54F.B4308%baoli@cisco.com>', '<54088254.4010105@danplanet.com>', '<54088787.5050600@redhat.com>', '<CABib2_qkOgi86dSZwjz1ndPC6PzHnCFDH4A5M5niWxvDoVk07g@mail.gmail.com>', '<D02F1EFF.B4A3A%baoli@cisco.com>', '<CF3BA74E.143F0%sadasu@cisco.com>', '<CF3BC3A4.5A8E1%baoli@cisco.com>', '<9D25E123B44F4A4291F4B5C13DA94E7795ED9B3A@MTLDAG01.mtl.com>', '<9D25E123B44F4A4291F4B5C13DA94E7795EDA220@MTLDAG01.mtl.com>', '<CF3CB4F0.5B437%baoli@cisco.com>', '<9D25E123B44F4A4291F4B5C13DA94E7795EDA919@MTLDAG01.mtl.com>', '<CF3CA19E.1447F%sadasu@cisco.com>', '<C227399E0701F545B768C425CD0EC3E0B7045844@ENFIRHMBX1.datcon.co.uk>', '<D02C8B1F.B33F4%baoli@cisco.com>', '<DDCAE26804250545B9934A2056554AA01FBFC394@ORSMSX108.amr.corp.intel.com>', '<CF16CE2D.403E3%baoli@cisco.com>', '<CF17BC24.40B13%baoli@cisco.com>', '<53AA21E5.6040409@intel.com>']",0,[],18,"['not involved', 'not involved', 'not involved', 'peripheral', 'core', 'not involved', 'peripheral', 'core', 'not involved', 'not involved', 'core', 'core', 'not involved', 'not involved', 'not involved', 'core', 'peripheral', 'core']",0,[]
NOVA 1403544,0,[],0,[],0,[],0,[]
NOVA 1403544 - CG,0,[],0,[],0,[],0,[]
NOVA 1419002,0,[],0,[],0,[],0,[]
NOVA 1419002 - CG,0,[],0,[],0,[],0,[]
NOVA 1424647,0,[],0,[],0,[],0,[]
NOVA 1424647 - CG,0,[],0,[],0,[],0,[]
NOVA 1434855,0,[],66,"['<54C93ED9.3020209@dague.net>', '<CAHXdxOd3PiQrVHPzw=y3YViOJ6c0ziBhY4C59YK12UN43ujr7A@mail.gmail.com>', '<54C96D0D.8020907@debian.org>', '<54CA1F15.6090204@cloudscaling.com>', '<54CC07AD.20308@linux.vnet.ibm.com>', '<54CC9F35.4090808@cloudscaling.com>', '<CANA9Uk7gmX-DvBgtdWJ7qhrBi5La1y2+G3Fg2dm8C6iVLariwQ@mail.gmail.com>', '<CAPFUtkb3LxD+JNyG=BFy_CoMB05aZpzT8MU45_CqJ2yc9xt-iw@mail.gmail.com>', '<54CC07F4.1010509@linux.vnet.ibm.com>', '<20150202094939.GB10017@redhat.com>', '<54CF923F.2010401@openstack.org>', '<54CF9B58.1020302@danplanet.com>', '<20150202155514.GK10017@redhat.com>', '<54CFA5EA.2050405@dague.net>', '<CAGSrQvwpCn8iB9ndbvCAAmU4OTaFGzzYjyMzmdDA+xUiog-2Hw@mail.gmail.com>', '<54D0D3CB.4090709@openstack.org>', '<54D0D8E6.2010301@dague.net>', '<44431E16-362F-4A72-9351-B9B4A347EDF3@gmail.com>', '<CAEd1pt7d54YfCGZKo3bRtq1LY9k2o=9hheADf=V8VjzpxxCCKQ@mail.gmail.com>', '<CAP_sDUERNWn5e0SZDVMP2ajSRG3dxrO7M1-Ug=4j8763mWyFsQ@mail.gmail.com>', '<CAD85om0_QvRexNEPVhraK=uL1vJS2X3yzLjdHkEro=z-_FwU2g@mail.gmail.com>', '<CAEd1pt6Pa0+w0DwR_2YTnECyJYn=1DxcP2c2T-bU04tkG+xuhA@mail.gmail.com>', '<CAEd1pt6W+-A9mVKJ9TNvL1+KSSaLn9BZdhYobJmmvCGQK7w-tg@mail.gmail.com>', '<54CC0190.5010608@linux.vnet.ibm.com>', '<1422614768.7371.15.camel@sputacchio.gateway.2wire.net>', '<54CBDB14.6090707@cloudscaling.com>', '<CAP_sDUFX1g5K8uqYg_SiHv0GV_jh9NL0C92QyYKoRAcKOUi-oA@mail.gmail.com>', '<5D7F9996EA547448BC6C54C8C5AAF4E5010271A184@CERNXCHG41.cern.ch>', '<54CBE484.6010801@cloudscaling.com>', '<20150202095856.GD10017@redhat.com>', '<54CF6371.6010404@cloudscaling.com>', '<20150202114736.GJ10017@redhat.com>', '<20150205125502.GU2497@yuggoth.org>', '<D0F023E0.1398%randy.bias@emc.com>', '<CANw6fcGLsct8sBm+TnnjWH7Ag2P8jbaeBZSJK7PbQwn8eYsS3w@mail.gmail.com>', '<CAOJFoEugWSFHBaT7-y_yxdg--+FSkP6bg=J+dJxc+Fd-6ahrvw@mail.gmail.com>', '<54CC9AB7.9010302@cloudscaling.com>', '<CANw6fcFTgkVZ4cAP6g4+Fir5mWgn2YnrX9WxFn5kYGUUfpsoGA@mail.gmail.com>', '<CAEd1pt5eNUv7Drg85xtfg6TCDrgV0bA07x=SKk4t-RhBHkcm8g@mail.gmail.com>', '<54CF672D.2010307@cloudscaling.com>', '<54CF9DE2.9060908@dague.net>', '<54CFA762.5080405@cloudscaling.com>', '<54CFA855.5060009@dague.net>', '<CAD85om0SoUGTp0X_sfYpAHwgqRCa8wa_9f8SXeKXc3ZPmhom3A@mail.gmail.com>', '<54CFAECF.6020908@cloudscaling.com>', '<20150202174607.GB1229@sazabi.kortar.org>', '<20150202173025.GA1229@sazabi.kortar.org>', '<54CFC48F.2010900@cloudscaling.com>', '<54CFA024.5050702@dague.net>', '<54CFB054.9010805@cloudscaling.com>', '<CAEd1pt4x6HSe9g-ftQTGAbiGasDY5_s6rOB411-Vnm7QPQGqRg@mail.gmail.com>', '<54CFDE43.6070707@cloudscaling.com>', '<20150202203643.GC2497@yuggoth.org>', '<54D35B92.2080906@cloudscaling.com>', '<CANw6fcEGCNOeFGRAOBN5d2OJA6hbhn=Su9tTRA1+W7mF=zpMFw@mail.gmail.com>', '<54D37A24.1030604@dague.net>', '<CAEtC-Yt8G0QAUwRcB+w6W3PJ+iaEp7bi-zKWAQfD+SvtcGK+Zw@mail.gmail.com>', '<54D4B61E.5000608@cloudscaling.com>', '<54D4B84D.7050202@dague.net>', '<54D4E464.70802@redhat.com>', '<CANA9Uk5ofYg7wWQtfm6pykDWK2_8D5WGXLMK8Sg6S2_2cKJiHw@mail.gmail.com>', '<54D8DE43.8060803@cloudscaling.com>', '<CANA9Uk7pNe-5mEnY5s57jz3PsO2M_rT7hmNJCg68aX8piLqtbA@mail.gmail.com>', '<54D9C543.5060805@cloudscaling.com>', '<CANA9Uk4svX2oHiPcKxp_36X9xB=F7=h1YEvm=OzArtNnhqZuBQ@mail.gmail.com>', '<54C27931.4030802@cloudscaling.com>']",0,[],25,"['peripheral', 'core', 'core', 'not involved', 'peripheral', 'not involved', 'core', 'not involved', 'core', 'peripheral', 'peripheral', 'not involved', 'not involved', 'peripheral', 'peripheral', 'not involved', 'core', 'peripheral', 'not involved', 'peripheral', 'not involved', 'core', 'not involved', 'not involved', 'not involved']"
NOVA 1434855 - CG,10,"['<CANCY3ed2KTw0xMQa2Bf7xxFMEsLwoo+7=mujmrz4cztjgL7P8w@mail.gmail.com>', '<5537A2FD.2050907@redhat.com>', '<553826F8.9040904@linux.vnet.ibm.com>', '<CAGnj6auHXehCyr_b5tYUWVVEOFz9eoDMO-GngBiwxpA4Bij_DQ@mail.gmail.com>', '<CAH7mGatE4Ua_fxmrAHCC6kbFE_uHnvoJ8u5vxVNFnOAQdrcVsg@mail.gmail.com>', '<CANWE-CnOs0L454G3VpHcV4-+oPDOn9vVar+P49pUZjar1GFswg@mail.gmail.com>', '<553E39D7.9080909@redhat.com>', '<54D53AC1.7060902@linux.vnet.ibm.com>', '<CANCY3ee4zZN0eccxoYhQQNrQV0NV3TsOW108g0+HkagSM_6QFw@mail.gmail.com>', '<CAA393viO0_oZed6QKO9AZrrDyXgbq--LzmdprjtbPrSHoEkJWw@mail.gmail.com>']",0,[],7,"['peripheral', 'not involved', 'core', 'not involved', 'not involved', 'not involved', 'core']",0,[]
NOVA 1437855,0,[],0,[],0,[],0,[]
NOVA 1437855 - CG,0,[],0,[],0,[],0,[]
NOVA 1438331,0,[],0,[],0,[],0,[]
NOVA 1438331 - CG,2,"['<CANWE-C=MvSicV5gWoVDmukirb-QFHcgBSK_wiqryf7_+ipWr-A@mail.gmail.com>', '<CAEd1pt794YYikAmM1bDp6AyFw0C-hGW3VXjKzhTXgfEZtYeQrA@mail.gmail.com>']",0,[],2,"['core', 'peripheral']",0,[]
NOVA 1441000,0,[],9,"['<CA+4oKthX58RE=AW3OeOuqhvsQ+eK75FV34+3AuSnMSeYZJ1MWg@mail.gmail.com>', '<5523B824.2040407@redhat.com>', '<20150409135916.GB28535@redhat.com>', '<20150130164715.GE27572@redhat.com>', '<20150202105129.GE10017@redhat.com>', '<CAH6UTCFzOhHW2xykbAdijQ=074DSZ6ku2h5hD9GQrU1EQ9uNGw@mail.gmail.com>', '<CAJ3HoZ0n0KoHjCg5V1G56GTKB1QquA2mCR8_87gMCcf4dGFHgQ@mail.gmail.com>', '<20150202105656.GF10017@redhat.com>', '<1502496069.9661027.1422888337352.JavaMail.zimbra@enovance.com>']",0,[],6,"['peripheral', 'core', 'core', 'not involved', 'not involved', 'not involved']"
NOVA 1441000 - CG,0,[],0,[],0,[],0,[]
NOVA 1443697,0,[],0,[],0,[],0,[]
NOVA 1443697 - CG,10,"['<CANCY3ed2KTw0xMQa2Bf7xxFMEsLwoo+7=mujmrz4cztjgL7P8w@mail.gmail.com>', '<5537A2FD.2050907@redhat.com>', '<553826F8.9040904@linux.vnet.ibm.com>', '<CAGnj6auHXehCyr_b5tYUWVVEOFz9eoDMO-GngBiwxpA4Bij_DQ@mail.gmail.com>', '<CAH7mGatE4Ua_fxmrAHCC6kbFE_uHnvoJ8u5vxVNFnOAQdrcVsg@mail.gmail.com>', '<CANWE-CnOs0L454G3VpHcV4-+oPDOn9vVar+P49pUZjar1GFswg@mail.gmail.com>', '<553E39D7.9080909@redhat.com>', '<54D53AC1.7060902@linux.vnet.ibm.com>', '<CANCY3ee4zZN0eccxoYhQQNrQV0NV3TsOW108g0+HkagSM_6QFw@mail.gmail.com>', '<CAA393viO0_oZed6QKO9AZrrDyXgbq--LzmdprjtbPrSHoEkJWw@mail.gmail.com>']",0,[],7,"['peripheral', 'not involved', 'core', 'not involved', 'not involved', 'not involved', 'core']",0,[]
NOVA 1443970,1,['<CAM25k1Q=q-NU2jd==Opj+CNLWwMcS54SWFQne-+WOsPK8LM52w@mail.gmail.com>'],2,"['<D007A902.1D540%gkotton@vmware.com>', '<CAMWrLvgWu6pSv55gK8RCa3m0qyfsmsA1zO0mAr4Zxb2+3gpD+Q@mail.gmail.com>']",1,['core'],2,"['not involved', 'core']"
NOVA 1443970 - CG,0,[],0,[],0,[],0,[]
NOVA 1447249,0,[],0,[],0,[],0,[]
NOVA 1447249 - CG,0,[],0,[],0,[],0,[]
NOVA 1453274,0,[],0,[],0,[],0,[]
NOVA 1453274 - CG,0,[],0,[],0,[],0,[]
NOVA 1466390,0,[],35,"['<OFE8A23601.372D526A-ON85257BE2.00726646-85257BE2.0073379D@us.ibm.com>', '<522F9477.6020007@redhat.com>', '<CE56180E.958C%gkotton@vmware.com>', '<BLU0-SMTP479F7EBE4906CA8AF96A63DA33A0@phx.gbl>', '<OFBD1EF948.9634AC52-ON85257BE4.00620F2B-85257BE4.0063350D@us.ibm.com>', '<CE576610.97BB%gkotton@vmware.com>', '<OFCBF66172.96FB9024-ON85257BE4.00689BE4-85257BE4.0068D3D9@us.ibm.com>', '<52FA3D2D.9020404@windriver.com>', '<CACsCO2yRQRLEGkBky=FHL6+9sNe9Am5gNYWWtEVvCK1-R-0MmA@mail.gmail.com>', '<aa39e534.000007f0.00000010@cw-lap-8TWXLX1>', '<CF1F8D7F.2835A%yudupi@cisco.com>', '<CACsCO2zwSCCkRX9grn5HLq90sAm_WFTyAbCd8Q0p70yhWwEihg@mail.gmail.com>', '<CF1F86DF.28316%yudupi@cisco.com>', '<OFEA76C778.779AEA45-ON85257CC6.001245AA-85257CC6.001C744A@us.ibm.com>', '<CADyX0K0u4J2wAX-rCnxK=n7aDwSEoSwPb3dpTPidBho7B9wu5g@mail.gmail.com>', '<52299B04.9030902@openstack.org>', '<5229E18C.80400@redhat.com>', '<CE4FD83F.7E3D%gkotton@vmware.com>', '<CADyX0K3AiG_ioZGRcSggHCzNdbiE8tJTDFAOOAjk5s0tGPxAhA@mail.gmail.com>', '<CE5135BD.7F2D%gkotton@vmware.com>', '<20130906071325.351d9834@caffeine.danplanet.com>', '<OF1A278BB1.E35CF63F-ON85257CB0.00138B0A-85257CB0.0024D9F1@us.ibm.com>', '<A257976C-DCA4-4B58-B3E3-A249FFB1CC3A@mirantis.com>', '<2AB0F5F851B5644A9B0AA69323D1100538F6CB51@xmb-aln-x15.cisco.com>', '<OF655A97B9.D8D2B196-ON85257BFE.001639A1-85257BFE.00196BB3@us.ibm.com>', '<OF017941A2.ACE8457E-ON85257BFE.0019FD7F-85257BFE.001A1156@us.ibm.com>', '<5253B6D1.7010408@bull.net>', '<2AB0F5F851B5644A9B0AA69323D1100538F82F0A@xmb-aln-x15.cisco.com>', '<2AB0F5F851B5644A9B0AA69323D1100538F84F9B@xmb-aln-x15.cisco.com>', '<52557C8D.5040406@bull.net>', '<CABib2_qFzd4TO1ZJfypdcOGP9P7c8panc-o970Jt=hOgSeFWGg@mail.gmail.com>', '<51D2E872.4090201@redhat.com>', '<51D2ED99.7030207@redhat.com>', '<51DCAF30.7050700@redhat.com>', '<1389768634-sup-1734@fewbar.com>']",0,[],16,"['peripheral', 'not involved', 'not involved', 'not involved', 'not involved', 'not involved', 'peripheral', 'not involved', 'peripheral', 'core', 'not involved', 'peripheral', 'core', 'peripheral', 'core', 'not involved']"
NOVA 1466390 - CG,0,[],0,[],0,[],0,[]
NOVA 1467451,0,[],0,[],0,[],0,[]
NOVA 1467451 - CG,0,[],0,[],0,[],0,[]
NOVA 1475356,0,[],0,[],0,[],0,[]
NOVA 1475356 - CG,0,[],0,[],0,[],0,[]
NOVA 1475911,0,[],5,"['<BFD1FDDFF8DBA84D919C48518A16A1B97B29857D@ORD1EXD04.RACKSPACE.CORP>', '<20140905135731.GS10103@redhat.com>', '<5409CF06.4050405@gmail.com>', '<D02F8B2E.538F6%matt.dietz@rackspace.com>', '<CAEd1pt7QAJZt4j1JzRKfYyAhjHvdz2xREQUSEQXXyKK8x7yfag@mail.gmail.com>']",0,[],5,"['core', 'core', 'core', 'not involved', 'core']"
NOVA 1475911 - CG,0,[],0,[],0,[],0,[]
NOVA 1481078,0,[],0,[],0,[],0,[]
NOVA 1481078 - CG,0,[],0,[],0,[],0,[]
